1s,2,-1170.10629989,-31840.211145,37551.717767
2s,2,-177.69011107,-4835.193739,7939.727681
2p,6,-167.44476246,-4556.403629,7983.970986
3s,2,-36.26571204,-986.840195,2370.228065
3p,6,-31.88188033,-867.550069,2319.302202
4s,2,-6.51256103,-177.215795,682.465189
3d,10,-23.65833166,-643.775933,2210.657278
4p,6,-4.95298178,-134.777486,623.341149
5s,2,-0.71545917,-19.468634,120.378057
4d,10,-2.26156213,-61.540234,486.026463
5p,5,-0.36758676,-10.002544,82.900921
